# Dentist Google-review outreach exclusion log
# Append newly drafted clinic emails and facility names here after each successful run.

# 2026-09-22 dentist run
hobro@harald.dk | Harald Tandlægerne Hobro
info@hobrotandplejecenter.dk | Hobro Tandlæge Center
info@dintandlaege-hobro.dk | dinTANDLÆGE Hobro
mail@tandlaegerne-biesgade.dk | Tandlægerne i Biesgade
info@dintandlaege-grenaa.dk | dinTANDLÆGE Grenaa
post@grenaatand.dk | Grenå Tandlægeklinik
info@tandgrenaa.dk | Tandlægehuset Grenaa
reception2@tandlaege-grenaa.dk | Tandlægerne i Ågade
kontakt@tandklinikthomassen.dk | Tandklinik Thomassen
klinik@aabentand.dk | Tandlægerne Lise Westermann & Christina Frandsen
rec@specialtandklinikken.dk | Specialtandklinikken Sønderjylland
mail@opnoertand.dk | Opnørgårdens Tandklinik
teglhoej@mail.dk | Hanne Teglhøj Tandlæger
svendborg@tflivet.dk | Tænder for livet - Svendborg
kontakt@tandlaegernecentrumpladsen.dk | Tandlægerne Centrumpladsen
mail@tandklinikkenklostergaarden.dk | Tandklinikken Klostergaarden
kontor@ringsted-tandklinik.dk | Ringsted tandklinik & ImplantatCenter
Kontakt@martinaaside.dk | Tandlæge Martin Åside
info@dittandteam.dk | Dit Tandteam
Email@tandlaegemeretelerche.dk | Tandlæge Merete Lerche
tandklinikken@baggersgade.dk | Tandklinikken Baggersgade
info@tandkvalitet.dk | Tandlægerne Adelgade
faaborg@tflivet.dk | Tænder for livet - Faaborg
denteam@denteam.info | Tandlægecenter Denteam, Faaborg
haarby@tflivet.dk | Tænder for livet - Haarby

# 2026-09-22 dentist run (additional drafts)
kontakt@tandteamnord.dk | Tandteam Nord
info@tandlaegehuset-aabenraa.dk | Tandlægehuset Aabenraa
info@sh-tandlaege.dk | Tandlægeselskabet Søren Hagemann ApS
info@raskbach.dk | Tandlægerne Rask & Bach I/S
mail@tandkopp.dk | Tandlægerne Kopp
info@tandslagelse.dk | Tandlægerne i Slagelse I/S
mail@tlcviborg.dk | Tandlægecentret Viborg I/S
soenderborg@oris.dk | ORIS Tandlægerne Sønderborg
info@tandlaegepedereriksen.dk | Tandlæge Peder Eriksen

# 2026-09-22 dentist run (20 more)
post@anejuul.dk | Specialtandlæge Ane Juul
info@tandklinikkenomhu.dk | Tandklinikken Omhu
tand@sundhedshuset.dk | Tandklinikken i Sundhedshuset
tandlaegerne@engboulevarden.dk | Tandlægerne Engboulevarden
mail@tandklinikken-vejle.dk | Tandklinikken Vejle
gravjuul@gravjuul.dk | Tandlægerne Lena Gravgaard & Jørgen Juul-Olsen
mail@vorting.dk | Tandlægerne Vorting & Ellegaard
mail@detgladesmil.dk | Det Glade Smil
info@densana.dk | Tandtryghed / Klinikfællesskabet Nørretorv 7
tandlaegernevejlenord@c.dk | Tandlægerne Vejle Nord
info@baytand.dk | Bay Tandlæge & Implantatklinik
kontakt@dltand.dk | Tandlægerne Dickow & Lindkær
naestved@colosseumklinikken.dk | Colosseum Tandlægerne Næstved
reception@sundmund.dk | Banegårdspladsens Tandklinik / Sundmund
klinik@hbak-mikkelsen.dk | Tandlæge Bak-Mikkelsen
adm@tandlaege-skovsgaard.dk | Tandlægerne Ringstedgade 11
mail@sctjorgentand.dk | Tandlægerne Sct. Jørgens Park
hedensted@tandlaegen.dk | tandlægen.dk Hedensted
ringkoebing@tandlaegen.dk | tandlægen.dk Ringkøbing
klinik@klinikfortandsundhed.dk | Klinik for Tandsundhed

# 2026-09-22 dentist run (6 more)
kontakt@tandl.dk | TANDLÆGEHUSET Hjørring
tand@oestergade61.dk | Tandlægerne Østergade 61
tlm@tlm.dk | Tandlægerne i Middelfart
Reception@tandlaegerne-ved-nytorv.dk | Tandlægerne ved Nytorv
algade27@mail.dk | Tandlægerne Middelfart
benny.joergensen@pc.dk | Tandlæge Benny Jørgensen

# 2026-09-22 dentist run (8 more)
nykoebing@tandlaegen.dk | tandlægen.dk Nykøbing Falster
info@tandklinikehlers.dk | Tandklinik Ehlers
mail@guldborgsundtand.dk | guldborgSUND TAND
tandlaege@anneliseblak.dk | Tandlægerne i Slotsgade v/ Tandlæge Annelise Blak
info@havnegadetand.dk | Havnegade Tandlægerne
kontakt@tandsmil.dk | Tandlægerne i Vestergade
kontakt@tandskjold.dk | Tandlægerne ved Tordenskjold
kontakt@itand.dk | Tandlægerne Lisbeth Morsbøl & Søren W. Olesen

# 2026-09-22 dentist run (7 more)
mors@smilmedos.dk | Smil med Østergaard Nykøbing Mors
info@tandstoberiet.dk | Tandstøberiet
kronborgvej@c.dk | Tandlæge Lisbeth Damgaard ApS
bronderslev@tandlaegen.dk | tandlægen.dk Brønderslev
klinik@tandlaegehusetaars.dk | Tandlægehuset Aars
info@byenstandlaeger.dk | Byens Tandlæger
haderslevtandklinik@supertand.dk | Haderslev Tandklinik

# 2026-09-22 dentist run (7 afternoon drafts)
reception@tandlaegehusetaagade.dk | Tandlægehuset Ågade
mail@tnpc.dk | Tandklinikken Nørreport Centret
drhook@post.tele.dk | Tandlæge Niels Christian Krogh
tandklinikken@brotorvet.dk | Tandklinikken Brotorvet
info@teamfriis.com | Team Friis
mail@slotsgadetand.dk | Tandlægerne Slotsgade
info@tandtorv.dk | Tandlægerne Nørretorv

# 2026-09-23 city-focused dentist run
info@tandlaegerneskoubogade.dk | Tandlægerne Skoubogade
kontakt@tandlaegernemidtbyen.dk | Tandlægerne Midtbyen
roskilde@tandlaegen.dk | tandlægen.dk Roskilde
info@tdl-algade.dk | Tandlægerne Algade 33
info@tandlaegerneistoden.dk | Tandlægerne i Støden
roskildetandklinik@harald.dk | Harald Roskilde Tandklinik
mail@tandteam.dk | Tandlæge Mike Skovgaard
post@herningtandlaege.dk | Tandlægerne Kløvermarken
post@tandiherning.dk | Tandlægerne Gl. Landevej
mail@tandsundhed.dk | Tandsundhed Herning
kontakt@hillerodtandlagerne.dk | Hillerød Tandlægerne
hilleroed@dentalklinikken.dk | Dentalklinikken Hillerød
mail@slotstandlaegerne.dk | Slotstandlægerne

# 2026-09-23 master-message dentist run
mail@tandlaegernegronnegade.dk | Tandlægerne Grønnegade
enebaervej4@os.dk | Tandlægerne Enebærvej
centrum-odense@tandlaegen.dk | tandlægen.dk Centrum Odense
mail@tdl-havnegade.dk | Tandlægerne Havnegade Esbjerg
info@tandlaegekimkartvedt.dk | Tandlægeselskabet Kim Kartvedt
